,age,gender,size,City,target_hour
72,Young,Female,Medium,Chicago,89.0
73,Baby,Female,Medium,Chicago,147.0
74,Baby,Female,Medium,Chicago,188.0
75,Adult,Male,Small,Chicago,71.0
76,Senior,Male,Small,Chicago,45.0
77,Young,Female,Medium,Chicago,124.0
78,Baby,Male,Medium,Chicago,98.0
79,Baby,Male,Large,Chicago,45.0
80,Young,Female,Medium,Chicago,72.0
81,Adult,Female,Small,Chicago,114.0
82,Young,Male,Medium,Chicago,211.0
83,Young,Male,Medium,Chicago,211.0
84,Young,Female,Medium,Chicago,211.0
85,Young,Male,Medium,Chicago,211.0
86,Young,Female,Medium,Chicago,213.0
87,Adult,Female,Small,Chicago,208.0
88,Young,Male,Medium,Chicago,209.0
89,Baby,Female,Medium,Chicago,152.0
90,Baby,Male,Medium,Chicago,215.0
91,Baby,Male,Medium,Chicago,84.0
92,Baby,Female,Medium,Chicago,153.0
93,Adult,Male,Small,Chicago,178.0
94,Adult,Male,Small,Chicago,178.0
95,Baby,Female,Medium,Chicago,23.0
96,Baby,Male,Medium,Chicago,23.0
97,Baby,Male,Medium,Chicago,189.0
98,Adult,Female,Medium,Chicago,44.0
99,Young,Female,Medium,Chicago,0.0
100,Baby,Male,Medium,Chicago,0.0
101,Baby,Male,Medium,Chicago,0.0
102,Baby,Male,Medium,Chicago,0.0
103,Baby,Male,Medium,Chicago,0.0
104,Young,Female,Medium,Chicago,188.0
105,Young,Male,Large,Chicago,5.0
106,Young,Male,Medium,Chicago,188.0
107,Young,Female,Medium,Chicago,8.0
108,Young,Male,Medium,Chicago,57.0
109,Baby,Male,Medium,Chicago,156.0
110,Baby,Male,Large,Chicago,71.0
111,Baby,Female,Medium,Chicago,117.0
112,Young,Male,Medium,Chicago,210.0
113,Young,Female,Medium,Chicago,211.0
114,Young,Male,Medium,Chicago,18.0
115,Young,Female,Medium,Chicago,161.0
116,Young,Male,Medium,Chicago,70.0
117,Adult,Male,Medium,Chicago,96.0
118,Baby,Female,Medium,Chicago,187.0
119,Baby,Male,Medium,Chicago,115.0
120,Senior,Male,Small,Chicago,44.0
121,Baby,Female,Medium,Chicago,187.0
122,Adult,Male,Large,Chicago,143.0
123,Adult,Female,Medium,Chicago,116.0
124,Baby,Male,Medium,Chicago,189.0
125,Baby,Male,Medium,Chicago,0.0
126,Adult,Female,Large,Chicago,191.0
127,Baby,Female,Large,Chicago,65.0
128,Young,Male,Medium,Chicago,120.0
129,Baby,Male,Small,Chicago,124.0
130,Adult,Female,Small,Chicago,70.0
131,Adult,Female,Medium,Chicago,165.0
132,Adult,Male,Medium,Chicago,166.0
133,Adult,Female,Medium,Chicago,166.0
134,Baby,Male,Small,Chicago,211.0
135,Adult,Male,Small,Chicago,211.0
136,Young,Male,Medium,Chicago,211.0
137,Baby,Male,Medium,Chicago,211.0
138,Baby,Female,Medium,Chicago,302.0
139,Baby,Male,Medium,Chicago,40.0
140,Senior,Female,Small,Chicago,137.0
141,Young,Male,Medium,Chicago,213.0
142,Adult,Female,Small,Chicago,0.0
143,Baby,Male,Medium,Chicago,0.0
144,Baby,Male,Medium,Chicago,117.0
145,Young,Male,Large,Chicago,24.0
146,Young,Female,Medium,Chicago,107.0
147,Adult,Female,Small,Chicago,185.0
148,Baby,Female,Large,Chicago,307.0
149,Adult,Female,Medium,Chicago,96.0
150,Adult,Male,Small,Chicago,53.0
151,Adult,Female,Medium,Chicago,293.0
152,Baby,Male,Medium,Chicago,48.0
153,Young,Female,Medium,Chicago,103.0
154,Baby,Female,Small,Chicago,235.0
155,Baby,Male,Small,Chicago,191.0
156,Baby,Female,Large,Chicago,78.0
157,Adult,Female,Medium,Chicago,219.0
158,Baby,Male,Medium,Chicago,78.0
159,Baby,Male,Medium,Chicago,244.0
160,Baby,Female,Medium,Chicago,217.0
161,Baby,Female,Medium,Chicago,217.0
162,Adult,Female,Large,Chicago,52.0
163,Baby,Female,Medium,Chicago,223.0
164,Young,Male,Large,Chicago,163.0
165,Adult,Male,Small,Chicago,82.0
166,Baby,Male,Small,Chicago,118.0
167,Baby,Female,Medium,Chicago,0.0
168,Baby,Female,Small,Chicago,47.0
169,Baby,Male,Medium,Chicago,71.0
170,Young,Male,Small,Chicago,91.0
171,Adult,Female,Small,Chicago,91.0
172,Adult,Female,Small,Chicago,92.0
173,Adult,Female,Small,Chicago,92.0
174,Young,Male,Medium,Chicago,241.0
175,Baby,Male,Small,Chicago,246.0
176,Adult,Male,Small,Chicago,80.0
177,Baby,Male,Medium,Chicago,103.0
178,Baby,Male,Medium,Chicago,322.0
179,Baby,Female,Medium,Chicago,52.0
180,Baby,Male,Medium,Chicago,242.0
181,Baby,Male,Medium,Chicago,217.0
182,Baby,Male,Medium,Chicago,107.0
183,Adult,Female,Large,Chicago,265.0
184,Adult,Female,Small,Chicago,168.0
185,Young,Male,Large,Chicago,133.0
186,Young,Female,Extra Large,Chicago,189.0
187,Baby,Male,Medium,Chicago,330.0
188,Baby,Female,Medium,Chicago,330.0
189,Young,Male,Medium,Chicago,219.0
190,Baby,Female,Large,Chicago,148.0
191,Baby,Male,Medium,Chicago,291.0
192,Young,Male,Small,Chicago,138.0
193,Young,Male,Medium,Chicago,239.0
194,Young,Male,Medium,Chicago,239.0
195,Adult,Male,Small,Chicago,316.0
196,Young,Male,Small,Chicago,241.0
197,Young,Female,Small,Chicago,31.0
198,Adult,Male,Medium,Chicago,7.0
199,Adult,Male,Small,Chicago,78.0
200,Young,Male,Extra Large,Chicago,336.0
201,Adult,Male,Large,Chicago,338.0
202,Adult,Female,Medium,Chicago,338.0
203,Adult,Male,Large,Chicago,338.0
204,Young,Female,Medium,Chicago,338.0
205,Adult,Male,Large,Chicago,371.0
206,Adult,Male,Large,Chicago,338.0
207,Adult,Male,Medium,Chicago,338.0
208,Adult,Male,Medium,Chicago,338.0
209,Baby,Female,Large,Chicago,106.0
210,Young,Male,Medium,Chicago,106.0
211,Adult,Male,Medium,Chicago,106.0
212,Baby,Female,Large,Chicago,130.0
213,Adult,Female,Small,Chicago,0.0
214,Baby,Female,Medium,Chicago,239.0
215,Baby,Male,Medium,Chicago,117.0
216,Baby,Male,Medium,Chicago,117.0
217,Baby,Male,Medium,Chicago,117.0
218,Baby,Male,Medium,Chicago,119.0
219,Young,Female,Medium,Chicago,330.0
220,Baby,Female,Medium,Chicago,117.0
221,Baby,Female,Medium,Chicago,355.0
222,Baby,Female,Medium,Chicago,117.0
223,Baby,Female,Medium,Chicago,355.0
224,Baby,Male,Medium,Chicago,0.0
225,Baby,Female,Large,Chicago,0.0
226,Adult,Male,Large,Chicago,48.0
227,Baby,Male,Medium,Chicago,288.0
228,Baby,Female,Small,Chicago,259.0
229,Baby,Female,Medium,Chicago,122.0
230,Baby,Female,Medium,Chicago,122.0
231,Baby,Male,Medium,Chicago,138.0
232,Baby,Female,Medium,Chicago,331.0
233,Senior,Male,Small,Chicago,262.0
234,Baby,Female,Medium,Chicago,99.0
235,Baby,Male,Medium,Chicago,150.0
236,Adult,Male,Medium,Chicago,314.0
237,Young,Male,Medium,Chicago,315.0
238,Baby,Male,Medium,Chicago,315.0
239,Adult,Male,Medium,Chicago,319.0
240,Adult,Male,Medium,Chicago,316.0
241,Adult,Male,Medium,Chicago,191.0
242,Senior,Male,Medium,Chicago,192.0
243,Adult,Female,Medium,Chicago,192.0
244,Adult,Female,Small,Chicago,0.0
245,Adult,Male,Medium,Chicago,192.0
246,Adult,Female,Medium,Chicago,192.0
247,Baby,Female,Medium,Chicago,0.0
248,Baby,Male,Large,Chicago,306.0
249,Baby,Female,Medium,Chicago,308.0
250,Baby,Female,Medium,Chicago,309.0
251,Baby,Male,Large,Chicago,204.0
252,Baby,Male,Medium,Chicago,40.0
253,Baby,Female,Medium,Chicago,112.0
254,Baby,Male,Medium,Chicago,88.0
255,Baby,Male,Medium,Chicago,24.0
256,Young,Female,Medium,Chicago,112.0
257,Young,Female,Medium,Chicago,165.0
258,Baby,Male,Small,Chicago,375.0
259,Baby,Male,Large,Chicago,141.0
260,Baby,Male,Medium,Chicago,200.0
261,Adult,Female,Small,Chicago,33.0
262,Adult,Female,Small,Chicago,33.0
263,Adult,Male,Small,Chicago,191.0
264,Baby,Male,Medium,Chicago,166.0
265,Baby,Male,Medium,Chicago,339.0
266,Baby,Male,Medium,Chicago,339.0
267,Adult,Male,Small,Chicago,13.0
268,Young,Male,Medium,Chicago,398.0
269,Young,Female,Medium,Chicago,398.0
270,Baby,Female,Medium,Chicago,161.0
271,Baby,Female,Medium,Chicago,161.0
272,Baby,Male,Medium,Chicago,399.0
273,Baby,Female,Medium,Chicago,161.0
274,Baby,Female,Medium,Chicago,161.0
275,Baby,Male,Medium,Chicago,161.0
276,Adult,Male,Small,Chicago,306.0
277,Adult,Female,Small,Chicago,306.0
278,Young,Male,Large,Chicago,362.0
279,Baby,Male,Small,Chicago,335.0
280,Young,Female,Medium,Chicago,30.0
281,Young,Male,Small,Chicago,2.0
282,Baby,Female,Medium,Chicago,0.0
283,Adult,Male,Medium,Chicago,0.0
284,Baby,Male,Large,Chicago,0.0
285,Adult,Male,Extra Large,Chicago,96.0
286,Adult,Female,Medium,Chicago,26.0
287,Adult,Female,Large,Chicago,75.0
288,Adult,Female,Small,Chicago,1.0
289,Adult,Male,Medium,Chicago,433.0
290,Young,Male,Small,Chicago,358.0
291,Adult,Male,Medium,Chicago,176.0
292,Baby,Male,Large,Chicago,199.0
293,Baby,Female,Small,Chicago,96.0
294,Adult,Female,Medium,Chicago,293.0
295,Young,Male,Large,Chicago,303.0
296,Adult,Female,Small,Chicago,16.0
297,Young,Female,Medium,Chicago,25.0
298,Young,Male,Large,Chicago,65.0
299,Young,Female,Small,Chicago,4.0
300,Adult,Male,Small,Chicago,376.0
301,Young,Female,Medium,Chicago,142.0
302,Baby,Female,Medium,Chicago,312.0
303,Young,Female,Medium,Chicago,6.0
304,Adult,Female,Large,Chicago,262.0
305,Adult,Male,Small,Chicago,115.0
306,Young,Female,Medium,Chicago,262.0
307,Adult,Female,Medium,Chicago,145.0
308,Baby,Male,Medium,Chicago,164.0
309,Young,Female,Medium,Chicago,125.0
310,Baby,Male,Medium,Chicago,165.0
311,Baby,Female,Medium,Chicago,333.0
312,Baby,Female,Medium,Chicago,333.0
313,Baby,Female,Medium,Chicago,165.0
314,Baby,Male,Medium,Chicago,429.0
315,Baby,Female,Medium,Chicago,81.0
316,Baby,Male,Medium,Chicago,55.0
317,Baby,Female,Medium,Chicago,187.0
318,Baby,Female,Medium,Chicago,8.0
319,Baby,Female,Medium,Chicago,93.0
320,Baby,Female,Medium,Chicago,187.0
321,Baby,Female,Medium,Chicago,55.0
322,Baby,Male,Medium,Chicago,262.0
323,Adult,Female,Medium,Chicago,389.0
324,Young,Male,Medium,Chicago,200.0
325,Young,Female,Small,Chicago,199.0
326,Young,Female,Small,Chicago,197.0
327,Baby,Female,Medium,Chicago,72.0
328,Baby,Female,Large,Chicago,0.0
329,Baby,Male,Large,Chicago,0.0
330,Baby,Male,Large,Chicago,0.0
331,Baby,Male,Large,Chicago,0.0
332,Baby,Female,Large,Chicago,0.0
333,Baby,Male,Large,Chicago,0.0
334,Baby,Female,Large,Chicago,0.0
335,Baby,Male,Large,Chicago,50.0
336,Baby,Male,Medium,Chicago,403.0
337,Adult,Male,Medium,Chicago,230.0
338,Baby,Female,Small,Chicago,42.0
339,Baby,Male,Medium,Chicago,430.0
340,Baby,Female,Medium,Chicago,83.0
341,Baby,Male,Medium,Chicago,65.0
342,Young,Male,Medium,Chicago,238.0
343,Adult,Male,Small,Chicago,331.0
344,Adult,Male,Medium,Chicago,288.0
345,Young,Male,Small,Chicago,238.0
346,Young,Male,Medium,Chicago,212.0
347,Young,Female,Large,Chicago,193.0
348,Adult,Male,Small,Chicago,398.0
349,Adult,Male,Medium,Chicago,379.0
350,Young,Female,Medium,Chicago,47.0
351,Baby,Male,Small,Chicago,399.0
352,Baby,Female,Medium,Chicago,1.0
353,Adult,Male,Medium,Chicago,47.0
354,Young,Male,Small,Chicago,356.0
355,Baby,Female,Medium,Chicago,472.0
356,Adult,Female,Medium,Chicago,407.0
357,Adult,Female,Medium,Chicago,51.0
358,Senior,Male,Medium,Chicago,220.0
359,Adult,Male,Large,Chicago,365.0
360,Baby,Male,Medium,Chicago,122.0
361,Young,Female,Small,Chicago,81.0
362,Young,Female,Medium,Chicago,196.0
363,Young,Female,Small,Chicago,30.0
364,Young,Female,Medium,Chicago,247.0
365,Adult,Female,Large,Chicago,247.0
366,Adult,Male,Medium,Chicago,360.0
367,Young,Female,Small,Chicago,192.0
368,Adult,Male,Medium,Chicago,414.0
369,Adult,Female,Large,Chicago,192.0
370,Adult,Female,Small,Chicago,221.0
371,Young,Male,Small,Chicago,221.0
372,Adult,Female,Medium,Chicago,221.0
373,Adult,Female,Medium,Chicago,221.0
374,Adult,Female,Small,Chicago,222.0
375,Young,Female,Medium,Chicago,64.0
376,Baby,Male,Small,Chicago,94.0
377,Baby,Male,Medium,Chicago,94.0
378,Baby,Female,Small,Chicago,94.0
379,Baby,Male,Medium,Chicago,70.0
380,Baby,Female,Medium,Chicago,313.0
381,Baby,Female,Small,Chicago,431.0
382,Baby,Male,Medium,Chicago,70.0
383,Adult,Male,Medium,Chicago,297.0
384,Adult,Male,Medium,Chicago,298.0
385,Adult,Female,Medium,Chicago,298.0
386,Adult,Female,Medium,Chicago,298.0
387,Senior,Male,Medium,Chicago,298.0
388,Baby,Male,Medium,Chicago,502.0
389,Adult,Male,Large,Chicago,412.0
390,Baby,Female,Medium,Chicago,0.0
391,Baby,Female,Large,Chicago,162.0
392,Young,Male,Large,Chicago,240.0
393,Baby,Female,Medium,Chicago,240.0
394,Baby,Female,Medium,Chicago,266.0
395,Baby,Male,Medium,Chicago,240.0
396,Baby,Female,Medium,Chicago,122.0
397,Baby,Female,Medium,Chicago,122.0
398,Baby,Male,Medium,Chicago,122.0
399,Baby,Male,Medium,Chicago,266.0
400,Baby,Male,Medium,Chicago,266.0
401,Young,Female,Medium,Chicago,254.0
402,Baby,Male,Medium,Chicago,481.0
403,Baby,Male,Medium,Chicago,123.0
404,Baby,Female,Medium,Chicago,122.0
405,Baby,Female,Medium,Chicago,122.0
406,Baby,Female,Medium,Chicago,123.0
407,Baby,Female,Medium,Chicago,123.0
408,Baby,Female,Medium,Chicago,123.0
409,Young,Male,Medium,Chicago,427.0
410,Adult,Female,Medium,Chicago,430.0
411,Baby,Female,Medium,Chicago,124.0
412,Adult,Male,Medium,Chicago,71.0
413,Baby,Female,Medium,Chicago,432.0
414,Adult,Female,Small,Chicago,166.0
415,Young,Male,Large,Chicago,484.0
416,Young,Female,Small,Chicago,0.0
417,Young,Male,Medium,Chicago,178.0
418,Adult,Female,Large,Chicago,202.0
419,Adult,Female,Medium,Chicago,372.0
420,Adult,Female,Small,Chicago,522.0
421,Adult,Male,Medium,Chicago,66.0
422,Adult,Female,Medium,Chicago,384.0
423,Adult,Male,Medium,Chicago,122.0
424,Adult,Male,Large,Chicago,237.0
425,Young,Female,Medium,Chicago,91.0
426,Adult,Male,Medium,Chicago,120.0
427,Baby,Female,Medium,Chicago,163.0
428,Young,Male,Medium,Chicago,555.0
429,Young,Male,Medium,Chicago,373.0
430,Adult,Female,Small,Chicago,229.0
431,Baby,Male,Small,Chicago,374.0
432,Baby,Female,Large,Chicago,495.0
433,Adult,Female,Small,Chicago,214.0
434,Baby,Female,Large,Chicago,182.0
435,Baby,Female,Large,Chicago,121.0
436,Adult,Female,Large,Chicago,72.0
437,Adult,Male,Large,Chicago,72.0
438,Baby,Female,Medium,Chicago,498.0
439,Baby,Male,Large,Chicago,452.0
440,Baby,Female,Large,Chicago,452.0
441,Baby,Male,Medium,Chicago,317.0
442,Baby,Male,Large,Chicago,534.0
443,Baby,Female,Large,Chicago,144.0
444,Baby,Male,Large,Chicago,224.0
445,Baby,Male,Large,Chicago,224.0
446,Young,Female,Large,Chicago,481.0
447,Baby,Female,Large,Chicago,0.0
448,Baby,Male,Large,Chicago,0.0
449,Baby,Female,Large,Chicago,0.0
450,Baby,Female,Large,Chicago,0.0
451,Baby,Female,Large,Chicago,0.0
452,Baby,Male,Large,Chicago,63.0
453,Baby,Male,Small,Chicago,24.0
454,Young,Female,Small,Chicago,90.0
455,Young,Female,Medium,Chicago,311.0
456,Young,Female,Medium,Chicago,66.0
457,Adult,Male,Small,Chicago,484.0
458,Adult,Female,Medium,Chicago,334.0
459,Baby,Male,Large,Chicago,553.0
460,Young,Male,Small,Chicago,91.0
461,Adult,Male,Medium,Chicago,47.0
462,Adult,Male,Small,Chicago,164.0
463,Adult,Female,Small,Chicago,0.0
464,Senior,Female,Small,Chicago,358.0
465,Young,Female,Medium,Chicago,334.0
466,Baby,Male,Medium,Chicago,506.0
467,Young,Male,Medium,Chicago,167.0
468,Baby,Female,Medium,Chicago,356.0
469,Adult,Male,Small,Chicago,193.0
470,Adult,Female,Small,Chicago,26.0
471,Baby,Male,Large,Chicago,0.0
472,Baby,Male,Large,Chicago,0.0
473,Baby,Male,Large,Chicago,0.0
474,Baby,Male,Medium,Chicago,0.0
475,Baby,Male,Medium,Chicago,213.0
476,Adult,Male,Medium,Chicago,73.0
477,Adult,Female,Small,Chicago,172.0
478,Baby,Female,Medium,Chicago,531.0
479,Baby,Male,Medium,Chicago,5.0
480,Young,Female,Medium,Chicago,173.0
481,Adult,Female,Medium,Chicago,104.0
482,Adult,Male,Small,Chicago,34.0
483,Young,Male,Medium,Chicago,173.0
484,Young,Male,Large,Chicago,173.0
485,Senior,Male,Small,Chicago,177.0
486,Adult,Female,Small,Chicago,67.0
487,Adult,Male,Large,Chicago,0.0
488,Adult,Female,Medium,Chicago,85.0
489,Young,Female,Medium,Chicago,451.0
490,Young,Female,Medium,Chicago,394.0
491,Young,Male,Large,Chicago,69.0
492,Adult,Male,Small,Chicago,71.0
493,Adult,Male,Medium,Chicago,169.0
494,Young,Female,Medium,Chicago,172.0
495,Baby,Male,Medium,Chicago,245.0
496,Baby,Male,Large,Chicago,219.0
497,Baby,Male,Medium,Chicago,341.0
498,Young,Female,Large,Chicago,220.0
499,Baby,Male,Medium,Chicago,175.0
500,Young,Male,Medium,Chicago,167.0
501,Adult,Male,Small,Chicago,438.0
502,Young,Female,Medium,Chicago,460.0
503,Adult,Male,Medium,Chicago,167.0
504,Adult,Male,Medium,Chicago,267.0
505,Baby,Male,Medium,Chicago,359.0
506,Baby,Male,Medium,Chicago,359.0
507,Baby,Female,Medium,Chicago,359.0
508,Baby,Female,Medium,Chicago,359.0
509,Baby,Male,Medium,Chicago,359.0
510,Baby,Male,Medium,Chicago,360.0
511,Baby,Female,Medium,Chicago,360.0
512,Young,Male,Large,Chicago,97.0
513,Adult,Male,Large,Chicago,406.0
514,Baby,Female,Medium,Chicago,360.0
515,Baby,Male,Medium,Chicago,361.0
516,Adult,Female,Medium,Chicago,418.0
517,Adult,Female,Small,Chicago,356.0
518,Young,Female,Medium,Chicago,224.0
519,Young,Male,Large,Chicago,555.0
520,Young,Female,Medium,Chicago,290.0
521,Adult,Male,Medium,Chicago,367.0
522,Young,Male,Medium,Chicago,344.0
523,Adult,Female,Medium,Chicago,535.0
524,Baby,Male,Medium,Chicago,227.0
525,Baby,Male,Medium,Chicago,227.0
526,Baby,Female,Medium,Chicago,227.0
527,Baby,Female,Medium,Chicago,227.0
528,Baby,Male,Medium,Chicago,638.0
529,Baby,Female,Medium,Chicago,276.0
530,Adult,Female,Small,Chicago,375.0
531,Adult,Male,Medium,Chicago,235.0
532,Adult,Female,Medium,Chicago,17.0
533,Young,Male,Medium,Chicago,72.0
534,Young,Female,Small,Chicago,38.0
535,Baby,Female,Medium,Chicago,377.0
536,Baby,Male,Medium,Chicago,377.0
537,Adult,Male,Medium,Chicago,274.0
538,Adult,Female,Large,Chicago,404.0
539,Adult,Female,Small,Chicago,381.0
540,Young,Female,Small,Chicago,381.0
541,Adult,Male,Medium,Chicago,381.0
542,Baby,Male,Large,Chicago,287.0
543,Young,Male,Large,Chicago,381.0
544,Adult,Female,Large,Chicago,613.0
545,Young,Male,Large,Chicago,613.0
546,Adult,Female,Medium,Chicago,274.0
547,Young,Male,Large,Chicago,381.0
548,Young,Female,Large,Chicago,94.0
549,Adult,Female,Medium,Chicago,25.0
550,Young,Male,Medium,Chicago,194.0
551,Young,Male,Medium,Chicago,51.0
552,Baby,Male,Small,Chicago,584.0
553,Baby,Male,Medium,Chicago,54.0
554,Baby,Male,Small,Chicago,223.0
555,Adult,Male,Small,Chicago,223.0
556,Baby,Female,Medium,Chicago,247.0
557,Baby,Male,Medium,Chicago,223.0
558,Adult,Female,Medium,Chicago,247.0
559,Baby,Male,Small,Chicago,247.0
560,Adult,Male,Large,Chicago,223.0
561,Young,Female,Medium,Chicago,223.0
562,Baby,Female,Medium,Chicago,248.0
563,Baby,Female,Small,Chicago,248.0
564,Baby,Female,Medium,Chicago,248.0
565,Baby,Female,Small,Chicago,264.0
566,Baby,Female,Small,Chicago,362.0
567,Senior,Male,Large,Chicago,221.0
568,Adult,Female,Small,Chicago,189.0
569,Baby,Male,Large,Chicago,260.0
570,Baby,Male,Medium,Chicago,288.0
571,Young,Female,Medium,Chicago,235.0
572,Young,Male,Small,Chicago,589.0
573,Adult,Male,Small,Chicago,589.0
574,Adult,Female,Small,Chicago,546.0
575,Baby,Female,Medium,Chicago,234.0
576,Adult,Female,Medium,Chicago,67.0
577,Baby,Female,Medium,Chicago,287.0
578,Baby,Male,Medium,Chicago,51.0
579,Baby,Male,Medium,Chicago,624.0
580,Baby,Male,Large,Chicago,109.0
581,Baby,Female,Medium,Chicago,95.0
582,Baby,Female,Medium,Chicago,96.0
583,Baby,Female,Medium,Chicago,286.0
584,Baby,Female,Medium,Chicago,286.0
585,Adult,Male,Medium,Chicago,473.0
586,Baby,Female,Medium,Chicago,438.0
587,Baby,Male,Medium,Chicago,286.0
588,Baby,Male,Medium,Chicago,438.0
589,Baby,Male,Medium,Chicago,439.0
590,Adult,Female,Medium,Chicago,98.0
591,Baby,Male,Medium,Chicago,439.0
592,Adult,Male,Large,Chicago,628.0
593,Baby,Female,Small,Chicago,98.0
594,Baby,Male,Small,Chicago,98.0
595,Baby,Male,Small,Chicago,290.0
596,Baby,Female,Medium,Chicago,246.0
597,Baby,Female,Large,Chicago,265.0
598,Baby,Female,Medium,Chicago,270.0
599,Young,Male,Small,Chicago,269.0
600,Young,Female,Medium,Chicago,241.0
601,Young,Male,Large,Chicago,79.0
602,Young,Male,Medium,Chicago,153.0
603,Young,Male,Small,Chicago,77.0
604,Baby,Male,Small,Chicago,314.0
605,Baby,Male,Small,Chicago,675.0
606,Young,Female,Medium,Chicago,80.0
607,Young,Female,Medium,Chicago,503.0
608,Adult,Female,Medium,Chicago,240.0
609,Adult,Male,Large,Chicago,182.0
610,Baby,Male,Small,Chicago,182.0
611,Adult,Male,Large,Chicago,0.0
612,Adult,Male,Large,Chicago,433.0
613,Young,Male,Medium,Chicago,425.0
614,Young,Female,Medium,Chicago,651.0
615,Baby,Male,Medium,Chicago,472.0
616,Baby,Male,Medium,Chicago,645.0
617,Baby,Female,Medium,Chicago,286.0
618,Young,Female,Medium,Chicago,498.0
619,Baby,Male,Medium,Chicago,293.0
620,Baby,Female,Medium,Chicago,127.0
621,Baby,Female,Medium,Chicago,180.0
622,Adult,Male,Small,Chicago,628.0
623,Young,Male,Large,Chicago,0.0
624,Baby,Male,Medium,Chicago,143.0
625,Baby,Female,Medium,Chicago,483.0
626,Baby,Female,Medium,Chicago,310.0
627,Baby,Male,Medium,Chicago,144.0
628,Baby,Female,Medium,Chicago,140.0
629,Baby,Male,Medium,Chicago,475.0
630,Baby,Female,Medium,Chicago,138.0
631,Baby,Male,Medium,Chicago,307.0
632,Baby,Male,Medium,Chicago,144.0
633,Baby,Female,Medium,Chicago,140.0
634,Baby,Male,Medium,Chicago,144.0
635,Baby,Female,Medium,Chicago,145.0
636,Baby,Male,Medium,Chicago,185.0
637,Baby,Female,Medium,Chicago,145.0
638,Baby,Male,Large,Chicago,244.0
639,Baby,Female,Small,Chicago,529.0
640,Baby,Male,Large,Chicago,8.0
641,Baby,Female,Large,Chicago,104.0
642,Baby,Female,Small,Chicago,287.0
643,Baby,Male,Small,Chicago,169.0
644,Adult,Male,Small,Chicago,162.0
645,Adult,Female,Medium,Chicago,163.0
646,Adult,Male,Small,Chicago,353.0
647,Young,Female,Medium,Chicago,353.0
648,Adult,Female,Medium,Chicago,163.0
649,Adult,Female,Small,Chicago,354.0
650,Baby,Female,Small,Chicago,16.0
651,Baby,Female,Small,Chicago,16.0
652,Baby,Male,Large,Chicago,59.0
